# timestamp tx ty tz qx qy qz qw
1753909225.422366 -0.630828 -0.761150 -0.035180 -0.002090 -0.000207 0.999918 0.012634
1753909225.989296 -0.639972 -0.759995 -0.035235 -0.003101 0.000122 0.996934 0.078188
1753909226.122692 -0.644180 -0.759243 -0.035261 -0.003233 0.000081 0.996895 0.078680
1753909227.356597 -0.685875 -0.752998 -0.035557 -0.003762 0.000503 0.996192 0.087108
1753909227.556690 -0.685236 -0.753106 -0.035552 -0.003855 0.000655 0.994357 0.106013
1753909228.156969 -0.688061 -0.752174 -0.035576 -0.004223 0.000561 0.982833 0.184450
1753909228.490457 -0.702546 -0.746769 -0.035711 -0.004448 0.000785 0.982815 0.184536
1753909228.990689 -0.721559 -0.739497 -0.035902 -0.004665 0.000897 0.982692 0.185186
1753909229.991153 -0.743326 -0.731190 -0.036122 -0.004693 0.001178 0.970018 0.242986
1753909230.257944 -0.747892 -0.728948 -0.036170 -0.004789 0.001061 0.965312 0.261053
1753909230.624780 -0.763214 -0.719808 -0.036349 -0.004933 0.001204 0.964892 0.262599
1753909231.591896 -0.796783 -0.701264 -0.036742 -0.004844 0.001135 0.963523 0.267581
1753909232.025430 -0.796294 -0.701327 -0.036737 -0.005121 0.001021 0.948364 0.317142
1753909232.225523 -0.800600 -0.698414 -0.036791 -0.005234 0.001056 0.941509 0.336946
1753909232.525663 -0.812958 -0.688253 -0.036980 -0.006414 0.001613 0.940752 0.339032
1753909233.025895 -0.826704 -0.677451 -0.037199 -0.005720 0.001303 0.940809 0.338887
1753909233.726220 -0.852253 -0.657363 -0.037580 -0.004953 0.001527 0.941249 0.337673
1753909234.159754 -0.867191 -0.645137 -0.037762 -0.003769 0.001454 0.941806 0.336132
1753909234.993475 -0.893812 -0.623849 -0.037990 -0.002779 0.000902 0.941468 0.337089
1753909235.226916 -0.896043 -0.621869 -0.038008 -0.002694 0.000790 0.934207 0.356722
1753909236.127334 -0.896744 -0.621452 -0.038012 -0.002673 0.000930 0.886551 0.462622
1753909236.294078 -0.896459 -0.621637 -0.038011 -0.003070 0.000959 0.880977 0.473148
1753909236.894356 -0.895859 -0.621982 -0.038006 -0.002952 0.001089 0.832169 0.554513
1753909237.261194 -0.895768 -0.621232 -0.038009 -0.002896 -0.000080 0.808010 0.589162
1753909237.527984 -0.895375 -0.622314 -0.038004 -0.002826 0.000149 0.781514 0.623882
1753909237.861472 -0.895205 -0.622082 -0.038004 -0.003140 0.000592 0.752018 0.659135
1753909238.061565 -0.895171 -0.622067 -0.038004 -0.003282 0.000840 0.744015 0.668154
1753909239.028680 -0.894786 -0.622549 -0.038000 -0.003488 0.001592 0.648089 0.761555
1753909239.528913 -0.894446 -0.622696 -0.037998 -0.003869 0.001767 0.596265 0.802777
1753909240.062494 -0.894360 -0.622786 -0.037997 -0.003743 0.002545 0.534950 0.844871
1753909240.395982 -0.894368 -0.622957 -0.037996 -0.003589 0.002718 0.502055 0.864824
1753909241.129656 -0.893612 -0.622600 -0.038000 -0.003498 0.002885 0.413225 0.910618
1753909241.596539 -0.893398 -0.622695 -0.038000 -0.003079 0.003009 0.358087 0.933678
1753909242.463608 -0.892758 -0.622683 -0.038003 -0.003078 0.003144 0.247973 0.968757
1753909242.730398 -0.892663 -0.622578 -0.038004 -0.002661 0.003003 0.212133 0.977233
1753909243.230630 -0.870224 -0.611920 -0.038206 -0.002799 0.003743 0.211625 0.977340
1753909243.397375 -0.866096 -0.610029 -0.038245 -0.002995 0.003816 0.210369 0.977610
1753909244.064351 -0.841698 -0.598472 -0.038484 -0.002949 0.004056 0.204086 0.978940
1753909244.297792 -0.842346 -0.598972 -0.038476 -0.002874 0.004104 0.190177 0.981737
1753909244.798024 -0.835491 -0.596886 -0.038537 -0.002681 0.004067 0.131707 0.991277
1753909245.264908 -0.816148 -0.591804 -0.038716 -0.002771 0.004122 0.131091 0.991358
1753909245.331605 -0.810337 -0.590177 -0.038768 -0.002774 0.003738 0.130413 0.991449
1753909246.265372 -0.775204 -0.580341 -0.039045 -0.002721 0.002993 0.130821 0.991398
1753909246.565511 -0.771778 -0.579560 -0.039069 -0.002555 0.002295 0.112569 0.993638
1753909247.032394 -0.771582 -0.579693 -0.039069 -0.002549 0.002348 0.052874 0.998595
1753909247.165789 -0.767496 -0.579352 -0.039089 -0.002479 0.002628 0.025083 0.999679
1753909247.832765 -0.741108 -0.578092 -0.039235 -0.002646 0.003030 0.025303 0.999672
1753909248.499742 -0.713475 -0.576458 -0.039470 -0.002384 0.004189 0.025871 0.999654
1753909248.666486 -0.707348 -0.576028 -0.039522 -0.002288 0.004100 0.026549 0.999636
1753909249.700299 -0.662523 -0.572933 -0.039795 -0.000884 0.002531 0.028238 0.999598
1753909249.867043 -0.655679 -0.572677 -0.039823 -0.001401 0.001698 0.025288 0.999678
1753909250.100484 -0.641597 -0.571625 -0.039869 -0.001347 0.001706 0.028481 0.999592
1753909250.967553 -0.630925 -0.572169 -0.039916 -0.000130 0.002489 -0.039250 0.999226
1753909251.100949 -0.624662 -0.572709 -0.039948 -0.000130 0.002489 -0.039250 0.999226
1753909251.534484 -0.617242 -0.573144 -0.039985 -0.000514 0.002463 -0.072412 0.997372
1753909251.834622 -0.617254 -0.573196 -0.039985 -0.000487 0.002614 -0.112474 0.993651
1753909252.034715 -0.614414 -0.573747 -0.039999 -0.000495 0.002777 -0.120561 0.992702
1753909252.701691 -0.588406 -0.580239 -0.040142 -0.000752 0.002881 -0.122267 0.992493
1753909253.335319 -0.585075 -0.581106 -0.040162 -0.000751 0.003012 -0.193279 0.981139
1753909253.702156 -0.572499 -0.586096 -0.040240 -0.000650 0.002984 -0.198257 0.980145
1753909254.102341 -0.556445 -0.592627 -0.040340 -0.000672 0.003117 -0.198297 0.980137
1753909254.169039 -0.552477 -0.594428 -0.040366 -0.000694 0.003124 -0.198544 0.980087
1753909254.402481 -0.546737 -0.596447 -0.040402 -0.000694 0.003124 -0.198544 0.980087
1753909255.169503 -0.515448 -0.609456 -0.040609 -0.000001 0.002877 -0.203583 0.979053
1753909255.469643 -0.515350 -0.609727 -0.040610 0.000043 0.002529 -0.241764 0.970332
1753909255.703084 -0.507313 -0.613863 -0.040663 0.000362 0.003153 -0.242946 0.970035
1753909256.236665 -0.489325 -0.623161 -0.040779 0.000609 0.002489 -0.242411 0.970170
1753909256.503456 -0.483067 -0.626265 -0.040815 0.000720 0.002524 -0.268214 0.963356
1753909257.203781 -0.467909 -0.636210 -0.040923 0.000962 0.002959 -0.294252 0.955723
1753909257.270478 -0.463857 -0.638707 -0.040952 0.000962 0.002959 -0.294252 0.955723
1753909257.870757 -0.456009 -0.644042 -0.041011 0.001085 0.003194 -0.338148 0.941087
1753909258.604431 -0.448058 -0.652386 -0.041095 0.001277 0.003460 -0.405211 0.914216
1753909258.971267 -0.440381 -0.660712 -0.041180 0.001375 0.003753 -0.405284 0.914182
1753909259.304755 -0.429913 -0.672083 -0.041303 0.001371 0.003859 -0.405067 0.914278
1753909259.671593 -0.416947 -0.685848 -0.041460 0.001642 0.003812 -0.404243 0.914642
1753909260.305220 -0.400762 -0.702821 -0.041637 0.002100 0.002292 -0.403704 0.914884
1753909261.072243 -0.377198 -0.728224 -0.041819 0.002733 0.001642 -0.403571 0.914943
1753909261.205638 -0.370659 -0.735155 -0.041867 0.002629 0.001530 -0.403870 0.914811
1753909261.772567 -0.358021 -0.748529 -0.041959 0.002789 0.001766 -0.403196 0.915108
1753909261.972660 -0.356032 -0.751190 -0.041978 0.002950 0.001913 -0.415886 0.909410
1753909262.306148 -0.354367 -0.753179 -0.041992 0.002929 0.001698 -0.457322 0.889295
1753909262.606288 -0.346472 -0.763848 -0.042075 0.003044 0.002010 -0.456590 0.889670
1753909263.306612 -0.329603 -0.787052 -0.042254 0.002915 0.001909 -0.458203 0.888841
1753909263.573403 -0.323890 -0.794567 -0.042310 0.002796 0.002073 -0.456442 0.889747
1753909263.840193 -0.314465 -0.807013 -0.042407 0.002796 0.002073 -0.456442 0.889747
1753909264.573867 -0.298044 -0.828596 -0.042574 0.002713 0.002185 -0.456142 0.889900
1753909265.107448 -0.283150 -0.848528 -0.042738 0.002833 0.003452 -0.456462 0.889732
1753909265.307541 -0.278511 -0.854861 -0.042837 0.003770 0.005533 -0.456066 0.889921
1753909265.941169 -0.264104 -0.874364 -0.043152 0.003711 0.005122 -0.455946 0.889985
1753909266.374703 -0.254474 -0.887306 -0.043333 0.003274 0.004187 -0.455612 0.890163
1753909267.208424 -0.233013 -0.916436 -0.043661 0.002706 0.003013 -0.455255 0.890352
1753909267.308470 -0.230181 -0.919913 -0.043696 0.002706 0.003013 -0.455255 0.890352
1753909267.508562 -0.223651 -0.928695 -0.043770 0.002452 0.001988 -0.454311 0.890837
1753909267.775353 -0.218852 -0.935097 -0.043809 0.002788 0.000699 -0.453135 0.891437
1753909268.775817 -0.195136 -0.967119 -0.043862 -0.000065 -0.001069 -0.457579 0.889168
1753909268.909212 -0.191453 -0.971982 -0.043849 -0.000067 -0.001200 -0.454325 0.890835
1753909269.909677 -0.165852 -1.005079 -0.043783 0.000274 -0.000503 -0.454318 0.890839
1753909270.009723 -0.163362 -1.008408 -0.043781 0.000491 -0.000334 -0.454016 0.890993
1753909270.610002 -0.152577 -1.023032 -0.043780 0.000395 0.000050 -0.455410 0.890282
1753909270.843443 -0.152349 -1.023318 -0.043781 0.000368 0.000066 -0.455775 0.890095
1753909271.310326 -0.152360 -1.023301 -0.043781 0.000368 0.000066 -0.455775 0.890095
1753909271.643815 -0.152360 -1.023301 -0.043781 0.000368 0.000066 -0.455775 0.890095
